MemTotal:        7795912 kB
MemFree:         6243016 kB
MemAvailable:    6939772 kB
Buffers:           24372 kB
Cached:           772592 kB
SwapCached:            0 kB
Active:           493032 kB
Inactive:         639432 kB
Active(anon):       2652 kB
Inactive(anon):   337528 kB
Active(file):     490380 kB
Inactive(file):   301904 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:       2097152 kB
SwapFree:        2097152 kB
Dirty:              7348 kB
Writeback:             0 kB
AnonPages:        335836 kB
Mapped:           340956 kB
Shmem:              4680 kB
KReclaimable:      86984 kB
Slab:             167620 kB
SReclaimable:      86984 kB
SUnreclaim:        80636 kB
KernelStack:        6868 kB
PageTables:         6560 kB
SecPageTables:         0 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:     5995108 kB
Committed_AS:    1876208 kB
VmallocTotal:   34359738367 kB
VmallocUsed:       36032 kB
VmallocChunk:          0 kB
Percpu:             7808 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
Unaccepted:            0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      121856 kB
DirectMap2M:     5828608 kB
DirectMap1G:    10485760 kB
