MemTotal:        7795912 kB
MemFree:         6241020 kB
MemAvailable:    6937888 kB
Buffers:           24456 kB
Cached:           772616 kB
SwapCached:            0 kB
Active:           493296 kB
Inactive:         639336 kB
Active(anon):       2660 kB
Inactive(anon):   337580 kB
Active(file):     490636 kB
Inactive(file):   301756 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:       2097152 kB
SwapFree:        2097152 kB
Dirty:              7424 kB
Writeback:            28 kB
AnonPages:        335656 kB
Mapped:           340956 kB
Shmem:              4680 kB
KReclaimable:      86988 kB
Slab:             167628 kB
SReclaimable:      86988 kB
SUnreclaim:        80640 kB
KernelStack:        6836 kB
PageTables:         6768 kB
SecPageTables:         0 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:     5995108 kB
Committed_AS:    1876208 kB
VmallocTotal:   34359738367 kB
VmallocUsed:       36048 kB
VmallocChunk:          0 kB
Percpu:             7808 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
Unaccepted:            0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      121856 kB
DirectMap2M:     5828608 kB
DirectMap1G:    10485760 kB
