MemTotal:        7795912 kB
MemFree:         6167664 kB
MemAvailable:    6867080 kB
Buffers:           26524 kB
Cached:           772924 kB
SwapCached:            0 kB
Active:           496728 kB
Inactive:         711500 kB
Active(anon):       2628 kB
Inactive(anon):   410664 kB
Active(file):     494100 kB
Inactive(file):   300836 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:       2097152 kB
SwapFree:        2097152 kB
Dirty:              7468 kB
Writeback:             0 kB
AnonPages:        408780 kB
Mapped:           341300 kB
Shmem:              4684 kB
KReclaimable:      86996 kB
Slab:             167628 kB
SReclaimable:      86996 kB
SUnreclaim:        80632 kB
KernelStack:        6896 kB
PageTables:         6880 kB
SecPageTables:         0 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:     5995108 kB
Committed_AS:    2440696 kB
VmallocTotal:   34359738367 kB
VmallocUsed:       36160 kB
VmallocChunk:          0 kB
Percpu:             7808 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
Unaccepted:            0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      121856 kB
DirectMap2M:     5828608 kB
DirectMap1G:    10485760 kB
