MemTotal:        7795912 kB
MemFree:         4775172 kB
MemAvailable:    5275004 kB
Buffers:           10036 kB
Cached:           595252 kB
SwapCached:       919152 kB
Active:           288940 kB
Inactive:        2306720 kB
Active(anon):       2648 kB
Inactive(anon):  1996568 kB
Active(file):     286292 kB
Inactive(file):   310152 kB
Unevictable:          16 kB
Mlocked:              16 kB
SwapTotal:       2097152 kB
SwapFree:        1176080 kB
Dirty:              7632 kB
Writeback:           252 kB
AnonPages:       1071172 kB
Mapped:           360128 kB
Shmem:              9012 kB
KReclaimable:      84812 kB
Slab:             166392 kB
SReclaimable:      84812 kB
SUnreclaim:        81580 kB
KernelStack:        7052 kB
PageTables:         8940 kB
SecPageTables:         0 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:     5995108 kB
Committed_AS:    2683460 kB
VmallocTotal:   34359738367 kB
VmallocUsed:       36208 kB
VmallocChunk:          0 kB
Percpu:             7808 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
Unaccepted:            0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      121856 kB
DirectMap2M:     5828608 kB
DirectMap1G:    10485760 kB
