MemTotal:        7795912 kB
MemFree:         6203348 kB
MemAvailable:    6578168 kB
Buffers:            7336 kB
Cached:           475524 kB
SwapCached:            0 kB
Active:           169464 kB
Inactive:        1004668 kB
Active(anon):       2656 kB
Inactive(anon):   697668 kB
Active(file):     166808 kB
Inactive(file):   307000 kB
Unevictable:          16 kB
Mlocked:              16 kB
SwapTotal:       2097152 kB
SwapFree:        2095792 kB
Dirty:              7708 kB
Writeback:             0 kB
AnonPages:        691372 kB
Mapped:           360036 kB
Shmem:              9012 kB
KReclaimable:      80060 kB
Slab:             161080 kB
SReclaimable:      80060 kB
SUnreclaim:        81020 kB
KernelStack:        7056 kB
PageTables:         8568 kB
SecPageTables:         0 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:     5995108 kB
Committed_AS:    2683460 kB
VmallocTotal:   34359738367 kB
VmallocUsed:       36288 kB
VmallocChunk:          0 kB
Percpu:             7808 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
Unaccepted:            0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      121856 kB
DirectMap2M:     5828608 kB
DirectMap1G:    10485760 kB
