MemTotal:        7795912 kB
MemFree:         5490760 kB
MemAvailable:    6014044 kB
Buffers:           10856 kB
Cached:           612660 kB
SwapCached:       918996 kB
Active:           309944 kB
Inactive:        1574384 kB
Active(anon):       2688 kB
Inactive(anon):  1262632 kB
Active(file):     307256 kB
Inactive(file):   311752 kB
Unevictable:          16 kB
Mlocked:              16 kB
SwapTotal:       2097152 kB
SwapFree:        1175332 kB
Dirty:               488 kB
Writeback:           196 kB
AnonPages:        341524 kB
Mapped:           342532 kB
Shmem:              4692 kB
KReclaimable:      86588 kB
Slab:             168048 kB
SReclaimable:      86588 kB
SUnreclaim:        81460 kB
KernelStack:        7068 kB
PageTables:         7172 kB
SecPageTables:         0 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:     5995108 kB
Committed_AS:    1886112 kB
VmallocTotal:   34359738367 kB
VmallocUsed:       36160 kB
VmallocChunk:          0 kB
Percpu:             7808 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
Unaccepted:            0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      121856 kB
DirectMap2M:     5828608 kB
DirectMap1G:    10485760 kB
