MemTotal:        7795912 kB
MemFree:         5939164 kB
MemAvailable:    6298300 kB
Buffers:            7000 kB
Cached:           460616 kB
SwapCached:            0 kB
Active:           154392 kB
Inactive:        1284292 kB
Active(anon):       2656 kB
Inactive(anon):   977636 kB
Active(file):     151736 kB
Inactive(file):   306656 kB
Unevictable:          16 kB
Mlocked:              16 kB
SwapTotal:       2097152 kB
SwapFree:        2096652 kB
Dirty:              7744 kB
Writeback:            80 kB
AnonPages:        971236 kB
Mapped:           360072 kB
Shmem:              9012 kB
KReclaimable:      79524 kB
Slab:             160612 kB
SReclaimable:      79524 kB
SUnreclaim:        81088 kB
KernelStack:        7052 kB
PageTables:         8408 kB
SecPageTables:         0 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:     5995108 kB
Committed_AS:    2683460 kB
VmallocTotal:   34359738367 kB
VmallocUsed:       36240 kB
VmallocChunk:          0 kB
Percpu:             7808 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
Unaccepted:            0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      121856 kB
DirectMap2M:     5828608 kB
DirectMap1G:    10485760 kB
