MemTotal:        7795912 kB
MemFree:         5995068 kB
MemAvailable:    6404640 kB
Buffers:            8072 kB
Cached:           508936 kB
SwapCached:            0 kB
Active:           202904 kB
Inactive:        1181632 kB
Active(anon):       2652 kB
Inactive(anon):   873916 kB
Active(file):     200252 kB
Inactive(file):   307716 kB
Unevictable:          16 kB
Mlocked:              16 kB
SwapTotal:       2097152 kB
SwapFree:        2095792 kB
Dirty:              7764 kB
Writeback:            52 kB
AnonPages:        867760 kB
Mapped:           360188 kB
Shmem:              9012 kB
KReclaimable:      81244 kB
Slab:             162304 kB
SReclaimable:      81244 kB
SUnreclaim:        81060 kB
KernelStack:        7024 kB
PageTables:         8028 kB
SecPageTables:         0 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:     5995108 kB
Committed_AS:    2683460 kB
VmallocTotal:   34359738367 kB
VmallocUsed:       36192 kB
VmallocChunk:          0 kB
Percpu:             7808 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
Unaccepted:            0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      121856 kB
DirectMap2M:     5828608 kB
DirectMap1G:    10485760 kB
