MemTotal:        7795912 kB
MemFree:         5141272 kB
MemAvailable:    5641384 kB
Buffers:           10092 kB
Cached:           595628 kB
SwapCached:       918996 kB
Active:           289040 kB
Inactive:        1941108 kB
Active(anon):       2668 kB
Inactive(anon):  1630796 kB
Active(file):     286372 kB
Inactive(file):   310312 kB
Unevictable:          16 kB
Mlocked:              16 kB
SwapTotal:       2097152 kB
SwapFree:        1176080 kB
Dirty:              7184 kB
Writeback:             0 kB
AnonPages:        705476 kB
Mapped:           360340 kB
Shmem:              9012 kB
KReclaimable:      84896 kB
Slab:             166552 kB
SReclaimable:      84896 kB
SUnreclaim:        81656 kB
KernelStack:        7172 kB
PageTables:         8180 kB
SecPageTables:         0 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:     5995108 kB
Committed_AS:    2683460 kB
VmallocTotal:   34359738367 kB
VmallocUsed:       36224 kB
VmallocChunk:          0 kB
Percpu:             7808 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
Unaccepted:            0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      121856 kB
DirectMap2M:     5828608 kB
DirectMap1G:    10485760 kB
