MemTotal:        7795912 kB
MemFree:         5253220 kB
MemAvailable:    5774396 kB
Buffers:           10680 kB
Cached:           615744 kB
SwapCached:       918996 kB
Active:           309000 kB
Inactive:        1811996 kB
Active(anon):       2672 kB
Inactive(anon):  1501120 kB
Active(file):     306328 kB
Inactive(file):   310876 kB
Unevictable:          16 kB
Mlocked:              16 kB
SwapTotal:       2097152 kB
SwapFree:        1176080 kB
Dirty:               724 kB
Writeback:             0 kB
AnonPages:        576108 kB
Mapped:           352092 kB
Shmem:              9008 kB
KReclaimable:      85980 kB
Slab:             167268 kB
SReclaimable:      85980 kB
SUnreclaim:        81288 kB
KernelStack:        7020 kB
PageTables:         7656 kB
SecPageTables:         0 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:     5995108 kB
Committed_AS:    2646832 kB
VmallocTotal:   34359738367 kB
VmallocUsed:       36240 kB
VmallocChunk:          0 kB
Percpu:             7808 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
Unaccepted:            0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      121856 kB
DirectMap2M:     5828608 kB
DirectMap1G:    10485760 kB
