MemTotal:        7795912 kB
MemFree:         5848168 kB
MemAvailable:    6203440 kB
Buffers:            6900 kB
Cached:           456948 kB
SwapCached:        75460 kB
Active:           150632 kB
Inactive:        1379164 kB
Active(anon):       2656 kB
Inactive(anon):  1072520 kB
Active(file):     147976 kB
Inactive(file):   306644 kB
Unevictable:          16 kB
Mlocked:              16 kB
SwapTotal:       2097152 kB
SwapFree:        2021444 kB
Dirty:              8028 kB
Writeback:          1256 kB
AnonPages:        992780 kB
Mapped:           359972 kB
Shmem:              9012 kB
KReclaimable:      79344 kB
Slab:             160448 kB
SReclaimable:      79344 kB
SUnreclaim:        81104 kB
KernelStack:        7084 kB
PageTables:         8556 kB
SecPageTables:         0 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:     5995108 kB
Committed_AS:    2683460 kB
VmallocTotal:   34359738367 kB
VmallocUsed:       36224 kB
VmallocChunk:          0 kB
Percpu:             7808 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
Unaccepted:            0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      121856 kB
DirectMap2M:     5828608 kB
DirectMap1G:    10485760 kB
