MemTotal:        7795912 kB
MemFree:         4752740 kB
MemAvailable:    5274760 kB
Buffers:           10740 kB
Cached:           615992 kB
SwapCached:      1171640 kB
Active:           309192 kB
Inactive:        2306516 kB
Active(anon):       2664 kB
Inactive(anon):  1995336 kB
Active(file):     306528 kB
Inactive(file):   311180 kB
Unevictable:          16 kB
Mlocked:              16 kB
SwapTotal:       2097152 kB
SwapFree:         923040 kB
Dirty:               388 kB
Writeback:          1764 kB
AnonPages:        819224 kB
Mapped:           352132 kB
Shmem:              9008 kB
KReclaimable:      86660 kB
Slab:             168356 kB
SReclaimable:      86660 kB
SUnreclaim:        81696 kB
KernelStack:        7048 kB
PageTables:         8444 kB
SecPageTables:         0 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:     5995108 kB
Committed_AS:    2646832 kB
VmallocTotal:   34359738367 kB
VmallocUsed:       36224 kB
VmallocChunk:          0 kB
Percpu:             7808 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
Unaccepted:            0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      121856 kB
DirectMap2M:     5828608 kB
DirectMap1G:    10485760 kB
