MemTotal:        7795912 kB
MemFree:         5121008 kB
MemAvailable:    5622208 kB
Buffers:           10180 kB
Cached:           596456 kB
SwapCached:       918996 kB
Active:           290348 kB
Inactive:        1962148 kB
Active(anon):       2656 kB
Inactive(anon):  1652228 kB
Active(file):     287692 kB
Inactive(file):   309920 kB
Unevictable:          16 kB
Mlocked:              16 kB
SwapTotal:       2097152 kB
SwapFree:        1176080 kB
Dirty:               568 kB
Writeback:             0 kB
AnonPages:        726912 kB
Mapped:           352008 kB
Shmem:              9008 kB
KReclaimable:      85216 kB
Slab:             166928 kB
SReclaimable:      85216 kB
SUnreclaim:        81712 kB
KernelStack:        7000 kB
PageTables:         7756 kB
SecPageTables:         0 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:     5995108 kB
Committed_AS:    2646832 kB
VmallocTotal:   34359738367 kB
VmallocUsed:       36240 kB
VmallocChunk:          0 kB
Percpu:             7808 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
Unaccepted:            0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      121856 kB
DirectMap2M:     5828608 kB
DirectMap1G:    10485760 kB
