MemTotal:        7795912 kB
MemFree:         5781984 kB
MemAvailable:    6202632 kB
Buffers:            8280 kB
Cached:           520112 kB
SwapCached:            0 kB
Active:           213992 kB
Inactive:        1384576 kB
Active(anon):       2656 kB
Inactive(anon):  1077024 kB
Active(file):     211336 kB
Inactive(file):   307552 kB
Unevictable:          16 kB
Mlocked:              16 kB
SwapTotal:       2097152 kB
SwapFree:        2095792 kB
Dirty:              7756 kB
Writeback:             0 kB
AnonPages:       1070824 kB
Mapped:           363848 kB
Shmem:              9012 kB
KReclaimable:      81556 kB
Slab:             162568 kB
SReclaimable:      81556 kB
SUnreclaim:        81012 kB
KernelStack:        7048 kB
PageTables:         8596 kB
SecPageTables:         0 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:     5995108 kB
Committed_AS:    2683460 kB
VmallocTotal:   34359738367 kB
VmallocUsed:       36192 kB
VmallocChunk:          0 kB
Percpu:             7808 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
Unaccepted:            0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      121856 kB
DirectMap2M:     5828608 kB
DirectMap1G:    10485760 kB
