MemTotal:        7795912 kB
MemFree:         6142716 kB
MemAvailable:    6494160 kB
Buffers:            6816 kB
Cached:           453256 kB
SwapCached:            0 kB
Active:           146904 kB
Inactive:        1088980 kB
Active(anon):       2656 kB
Inactive(anon):   782380 kB
Active(file):     144248 kB
Inactive(file):   306600 kB
Unevictable:          16 kB
Mlocked:              16 kB
SwapTotal:       2097152 kB
SwapFree:        2097152 kB
Dirty:              7944 kB
Writeback:             0 kB
AnonPages:        757716 kB
Mapped:           359904 kB
Shmem:              9012 kB
KReclaimable:      79232 kB
Slab:             160120 kB
SReclaimable:      79232 kB
SUnreclaim:        80888 kB
KernelStack:        7068 kB
PageTables:         8712 kB
SecPageTables:         0 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:     5995108 kB
Committed_AS:    2683460 kB
VmallocTotal:   34359738367 kB
VmallocUsed:       36208 kB
VmallocChunk:          0 kB
Percpu:             7808 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
Unaccepted:            0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      121856 kB
DirectMap2M:     5828608 kB
DirectMap1G:    10485760 kB
