MemTotal:        7795912 kB
MemFree:         4935448 kB
MemAvailable:    5456808 kB
Buffers:           10712 kB
Cached:           615888 kB
SwapCached:       918996 kB
Active:           309004 kB
Inactive:        2127020 kB
Active(anon):       2656 kB
Inactive(anon):  1815996 kB
Active(file):     306348 kB
Inactive(file):   311024 kB
Unevictable:          16 kB
Mlocked:              16 kB
SwapTotal:       2097152 kB
SwapFree:        1176080 kB
Dirty:               448 kB
Writeback:            44 kB
AnonPages:        890752 kB
Mapped:           351776 kB
Shmem:              9008 kB
KReclaimable:      86016 kB
Slab:             167312 kB
SReclaimable:      86016 kB
SUnreclaim:        81296 kB
KernelStack:        7028 kB
PageTables:         8216 kB
SecPageTables:         0 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:     5995108 kB
Committed_AS:    2646832 kB
VmallocTotal:   34359738367 kB
VmallocUsed:       36240 kB
VmallocChunk:          0 kB
Percpu:             7808 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
Unaccepted:            0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      121856 kB
DirectMap2M:     5828608 kB
DirectMap1G:    10485760 kB
