MemTotal:        7795912 kB
MemFree:         4748348 kB
MemAvailable:    5212848 kB
Buffers:            9272 kB
Cached:           561444 kB
SwapCached:       918996 kB
Active:           255544 kB
Inactive:        2370120 kB
Active(anon):       2652 kB
Inactive(anon):  2061152 kB
Active(file):     252892 kB
Inactive(file):   308968 kB
Unevictable:          16 kB
Mlocked:              16 kB
SwapTotal:       2097152 kB
SwapFree:        1176428 kB
Dirty:              7640 kB
Writeback:             0 kB
AnonPages:       1135780 kB
Mapped:           359952 kB
Shmem:              9012 kB
KReclaimable:      83316 kB
Slab:             164836 kB
SReclaimable:      83316 kB
SUnreclaim:        81520 kB
KernelStack:        7056 kB
PageTables:         8652 kB
SecPageTables:         0 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:     5995108 kB
Committed_AS:    2749000 kB
VmallocTotal:   34359738367 kB
VmallocUsed:       36192 kB
VmallocChunk:          0 kB
Percpu:             7808 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
Unaccepted:            0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      121856 kB
DirectMap2M:     5828608 kB
DirectMap1G:    10485760 kB
