MemTotal:        7795912 kB
MemFree:         6198388 kB
MemAvailable:    6627172 kB
Buffers:            8500 kB
Cached:           527852 kB
SwapCached:            0 kB
Active:           221416 kB
Inactive:         953372 kB
Active(anon):       2668 kB
Inactive(anon):   645200 kB
Active(file):     218748 kB
Inactive(file):   308172 kB
Unevictable:          16 kB
Mlocked:              16 kB
SwapTotal:       2097152 kB
SwapFree:        2095792 kB
Dirty:              7968 kB
Writeback:             0 kB
AnonPages:        638812 kB
Mapped:           360152 kB
Shmem:              9012 kB
KReclaimable:      81764 kB
Slab:             162900 kB
SReclaimable:      81764 kB
SUnreclaim:        81136 kB
KernelStack:        7160 kB
PageTables:         7928 kB
SecPageTables:         0 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:     5995108 kB
Committed_AS:    2686580 kB
VmallocTotal:   34359738367 kB
VmallocUsed:       36224 kB
VmallocChunk:          0 kB
Percpu:             7808 kB
HardwareCorrupted:     0 kB
AnonHugePages:     92160 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
Unaccepted:            0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      121856 kB
DirectMap2M:     5828608 kB
DirectMap1G:    10485760 kB
