MemTotal:        7795912 kB
MemFree:         4761988 kB
MemAvailable:    5275132 kB
Buffers:           10472 kB
Cached:           607844 kB
SwapCached:       918996 kB
Active:           301616 kB
Inactive:        2307560 kB
Active(anon):       2656 kB
Inactive(anon):  1997228 kB
Active(file):     298960 kB
Inactive(file):   310332 kB
Unevictable:          16 kB
Mlocked:              16 kB
SwapTotal:       2097152 kB
SwapFree:        1176080 kB
Dirty:              7556 kB
Writeback:             0 kB
AnonPages:       1071968 kB
Mapped:           352008 kB
Shmem:              9008 kB
KReclaimable:      85744 kB
Slab:             167060 kB
SReclaimable:      85744 kB
SUnreclaim:        81316 kB
KernelStack:        7008 kB
PageTables:         8500 kB
SecPageTables:         0 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:     5995108 kB
Committed_AS:    2646832 kB
VmallocTotal:   34359738367 kB
VmallocUsed:       36160 kB
VmallocChunk:          0 kB
Percpu:             7808 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
Unaccepted:            0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      121856 kB
DirectMap2M:     5828608 kB
DirectMap1G:    10485760 kB
