MemTotal:        7795912 kB
MemFree:         4798464 kB
MemAvailable:    5282508 kB
Buffers:            9672 kB
Cached:           580308 kB
SwapCached:      1005040 kB
Active:           274024 kB
Inactive:        2304480 kB
Active(anon):       2648 kB
Inactive(anon):  1994916 kB
Active(file):     271376 kB
Inactive(file):   309564 kB
Unevictable:          16 kB
Mlocked:              16 kB
SwapTotal:       2097152 kB
SwapFree:        1089968 kB
Dirty:              7668 kB
Writeback:          1196 kB
AnonPages:        985444 kB
Mapped:           359944 kB
Shmem:              9012 kB
KReclaimable:      84244 kB
Slab:             166196 kB
SReclaimable:      84244 kB
SUnreclaim:        81952 kB
KernelStack:        7072 kB
PageTables:         8676 kB
SecPageTables:         0 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:     5995108 kB
Committed_AS:    2683460 kB
VmallocTotal:   34359738367 kB
VmallocUsed:       36192 kB
VmallocChunk:          0 kB
Percpu:             7808 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
Unaccepted:            0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      121856 kB
DirectMap2M:     5828608 kB
DirectMap1G:    10485760 kB
