MemTotal:        7795912 kB
MemFree:         5826528 kB
MemAvailable:    6197148 kB
Buffers:            7236 kB
Cached:           471704 kB
SwapCached:       324652 kB
Active:           165580 kB
Inactive:        1381800 kB
Active(anon):       2656 kB
Inactive(anon):  1075020 kB
Active(file):     162924 kB
Inactive(file):   306780 kB
Unevictable:          16 kB
Mlocked:              16 kB
SwapTotal:       2097152 kB
SwapFree:        1771196 kB
Dirty:              7600 kB
Writeback:           876 kB
AnonPages:        746168 kB
Mapped:           360068 kB
Shmem:              9012 kB
KReclaimable:      79868 kB
Slab:             161192 kB
SReclaimable:      79868 kB
SUnreclaim:        81324 kB
KernelStack:        7076 kB
PageTables:         8700 kB
SecPageTables:         0 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:     5995108 kB
Committed_AS:    2683460 kB
VmallocTotal:   34359738367 kB
VmallocUsed:       36224 kB
VmallocChunk:          0 kB
Percpu:             7808 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
Unaccepted:            0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      121856 kB
DirectMap2M:     5828608 kB
DirectMap1G:    10485760 kB
