MemTotal:        7795912 kB
MemFree:         4795144 kB
MemAvailable:    5275304 kB
Buffers:            9588 kB
Cached:           576416 kB
SwapCached:       918996 kB
Active:           270496 kB
Inactive:        2306404 kB
Active(anon):       2664 kB
Inactive(anon):  1997076 kB
Active(file):     267832 kB
Inactive(file):   309328 kB
Unevictable:          16 kB
Mlocked:              16 kB
SwapTotal:       2097152 kB
SwapFree:        1176180 kB
Dirty:              7716 kB
Writeback:             0 kB
AnonPages:       1071608 kB
Mapped:           360144 kB
Shmem:              9012 kB
KReclaimable:      84040 kB
Slab:             165596 kB
SReclaimable:      84040 kB
SUnreclaim:        81556 kB
KernelStack:        7088 kB
PageTables:         8808 kB
SecPageTables:         0 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:     5995108 kB
Committed_AS:    2683460 kB
VmallocTotal:   34359738367 kB
VmallocUsed:       36192 kB
VmallocChunk:          0 kB
Percpu:             7808 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
Unaccepted:            0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      121856 kB
DirectMap2M:     5828608 kB
DirectMap1G:    10485760 kB
