MemTotal:        7795912 kB
MemFree:         5862076 kB
MemAvailable:    6209492 kB
Buffers:            6740 kB
Cached:           449212 kB
SwapCached:            0 kB
Active:           139760 kB
Inactive:        1380176 kB
Active(anon):       2656 kB
Inactive(anon):  1070360 kB
Active(file):     137104 kB
Inactive(file):   309816 kB
Unevictable:          16 kB
Mlocked:              16 kB
SwapTotal:       2097152 kB
SwapFree:        2097152 kB
Dirty:              7712 kB
Writeback:             0 kB
AnonPages:       1063960 kB
Mapped:           363556 kB
Shmem:              9012 kB
KReclaimable:      79028 kB
Slab:             159912 kB
SReclaimable:      79028 kB
SUnreclaim:        80884 kB
KernelStack:        7040 kB
PageTables:         8564 kB
SecPageTables:         0 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:     5995108 kB
Committed_AS:    2683460 kB
VmallocTotal:   34359738367 kB
VmallocUsed:       36176 kB
VmallocChunk:          0 kB
Percpu:             7808 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
Unaccepted:            0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      121856 kB
DirectMap2M:     5828608 kB
DirectMap1G:    10485760 kB
