MemTotal:        7795912 kB
MemFree:         5799764 kB
MemAvailable:    6197332 kB
Buffers:            7820 kB
Cached:           497864 kB
SwapCached:            0 kB
Active:           191528 kB
Inactive:        1385052 kB
Active(anon):       2660 kB
Inactive(anon):  1077668 kB
Active(file):     188868 kB
Inactive(file):   307384 kB
Unevictable:          16 kB
Mlocked:              16 kB
SwapTotal:       2097152 kB
SwapFree:        2095792 kB
Dirty:              8176 kB
Writeback:            60 kB
AnonPages:       1071176 kB
Mapped:           360468 kB
Shmem:              9012 kB
KReclaimable:      80672 kB
Slab:             161696 kB
SReclaimable:      80672 kB
SUnreclaim:        81024 kB
KernelStack:        7116 kB
PageTables:         8892 kB
SecPageTables:         0 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:     5995108 kB
Committed_AS:    2683460 kB
VmallocTotal:   34359738367 kB
VmallocUsed:       36272 kB
VmallocChunk:          0 kB
Percpu:             7808 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
Unaccepted:            0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      121856 kB
DirectMap2M:     5828608 kB
DirectMap1G:    10485760 kB
