MemTotal:        7795912 kB
MemFree:         5042676 kB
MemAvailable:    5543004 kB
Buffers:           10140 kB
Cached:           595788 kB
SwapCached:       918996 kB
Active:           290264 kB
Inactive:        2039460 kB
Active(anon):       2668 kB
Inactive(anon):  1730160 kB
Active(file):     287596 kB
Inactive(file):   309300 kB
Unevictable:          16 kB
Mlocked:              16 kB
SwapTotal:       2097152 kB
SwapFree:        1176080 kB
Dirty:                 0 kB
Writeback:            60 kB
AnonPages:        800928 kB
Mapped:           352372 kB
Shmem:              9008 kB
KReclaimable:      84904 kB
Slab:             166592 kB
SReclaimable:      84904 kB
SUnreclaim:        81688 kB
KernelStack:        7064 kB
PageTables:         8888 kB
SecPageTables:         0 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:     5995108 kB
Committed_AS:    2646832 kB
VmallocTotal:   34359738367 kB
VmallocUsed:       36192 kB
VmallocChunk:          0 kB
Percpu:             7808 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
Unaccepted:            0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      121856 kB
DirectMap2M:     5828608 kB
DirectMap1G:    10485760 kB
