MemTotal:        7795912 kB
MemFree:         4796392 kB
MemAvailable:    5280436 kB
Buffers:            9672 kB
Cached:           580308 kB
SwapCached:       918996 kB
Active:           274032 kB
Inactive:        2306368 kB
Active(anon):       2656 kB
Inactive(anon):  1996804 kB
Active(file):     271376 kB
Inactive(file):   309564 kB
Unevictable:          16 kB
Mlocked:              16 kB
SwapTotal:       2097152 kB
SwapFree:        1176180 kB
Dirty:              7664 kB
Writeback:             0 kB
AnonPages:       1071540 kB
Mapped:           360072 kB
Shmem:              9012 kB
KReclaimable:      84244 kB
Slab:             165800 kB
SReclaimable:      84244 kB
SUnreclaim:        81556 kB
KernelStack:        7024 kB
PageTables:         8572 kB
SecPageTables:         0 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:     5995108 kB
Committed_AS:    2683460 kB
VmallocTotal:   34359738367 kB
VmallocUsed:       36176 kB
VmallocChunk:          0 kB
Percpu:             7808 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
Unaccepted:            0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      121856 kB
DirectMap2M:     5828608 kB
DirectMap1G:    10485760 kB
