MemTotal:        7795912 kB
MemFree:         5490132 kB
MemAvailable:    6013148 kB
Buffers:           10804 kB
Cached:           612484 kB
SwapCached:       918996 kB
Active:           309920 kB
Inactive:        1574008 kB
Active(anon):       2680 kB
Inactive(anon):  1262472 kB
Active(file):     307240 kB
Inactive(file):   311536 kB
Unevictable:          16 kB
Mlocked:              16 kB
SwapTotal:       2097152 kB
SwapFree:        1175332 kB
Dirty:               668 kB
Writeback:           176 kB
AnonPages:        341304 kB
Mapped:           342580 kB
Shmem:              4692 kB
KReclaimable:      86520 kB
Slab:             167828 kB
SReclaimable:      86520 kB
SUnreclaim:        81308 kB
KernelStack:        7040 kB
PageTables:         6944 kB
SecPageTables:         0 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:     5995108 kB
Committed_AS:    1886112 kB
VmallocTotal:   34359738367 kB
VmallocUsed:       36144 kB
VmallocChunk:          0 kB
Percpu:             7808 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
Unaccepted:            0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      121856 kB
DirectMap2M:     5828608 kB
DirectMap1G:    10485760 kB
