MemTotal:        7795912 kB
MemFree:         5147996 kB
MemAvailable:    5648404 kB
Buffers:           10152 kB
Cached:           595836 kB
SwapCached:       918996 kB
Active:           290276 kB
Inactive:        1937124 kB
Active(anon):       2668 kB
Inactive(anon):  1627776 kB
Active(file):     287608 kB
Inactive(file):   309348 kB
Unevictable:          16 kB
Mlocked:              16 kB
SwapTotal:       2097152 kB
SwapFree:        1176080 kB
Dirty:                 0 kB
Writeback:            60 kB
AnonPages:        702660 kB
Mapped:           352372 kB
Shmem:              9008 kB
KReclaimable:      84940 kB
Slab:             166640 kB
SReclaimable:      84940 kB
SUnreclaim:        81700 kB
KernelStack:        7060 kB
PageTables:         8096 kB
SecPageTables:         0 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:     5995108 kB
Committed_AS:    2646832 kB
VmallocTotal:   34359738367 kB
VmallocUsed:       36192 kB
VmallocChunk:          0 kB
Percpu:             7808 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
Unaccepted:            0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      121856 kB
DirectMap2M:     5828608 kB
DirectMap1G:    10485760 kB
