MemTotal:        7795912 kB
MemFree:         5795828 kB
MemAvailable:    6197280 kB
Buffers:            7908 kB
Cached:           501768 kB
SwapCached:            0 kB
Active:           195124 kB
Inactive:        1384924 kB
Active(anon):       2660 kB
Inactive(anon):  1077352 kB
Active(file):     192464 kB
Inactive(file):   307572 kB
Unevictable:          16 kB
Mlocked:              16 kB
SwapTotal:       2097152 kB
SwapFree:        2095792 kB
Dirty:              7972 kB
Writeback:             0 kB
AnonPages:       1071252 kB
Mapped:           360472 kB
Shmem:              9012 kB
KReclaimable:      80868 kB
Slab:             161912 kB
SReclaimable:      80868 kB
SUnreclaim:        81044 kB
KernelStack:        7116 kB
PageTables:         8884 kB
SecPageTables:         0 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:     5995108 kB
Committed_AS:    2683460 kB
VmallocTotal:   34359738367 kB
VmallocUsed:       36304 kB
VmallocChunk:          0 kB
Percpu:             7808 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
Unaccepted:            0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      121856 kB
DirectMap2M:     5828608 kB
DirectMap1G:    10485760 kB
