MemTotal:        7795912 kB
MemFree:         5238884 kB
MemAvailable:    5699528 kB
Buffers:            9184 kB
Cached:           557744 kB
SwapCached:       918996 kB
Active:           251812 kB
Inactive:        1884608 kB
Active(anon):       2656 kB
Inactive(anon):  1575692 kB
Active(file):     249156 kB
Inactive(file):   308916 kB
Unevictable:          16 kB
Mlocked:              16 kB
SwapTotal:       2097152 kB
SwapFree:        1176428 kB
Dirty:              7892 kB
Writeback:             0 kB
AnonPages:        650380 kB
Mapped:           360040 kB
Shmem:              9012 kB
KReclaimable:      83184 kB
Slab:             164672 kB
SReclaimable:      83184 kB
SUnreclaim:        81488 kB
KernelStack:        7020 kB
PageTables:         7564 kB
SecPageTables:         0 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:     5995108 kB
Committed_AS:    2749000 kB
VmallocTotal:   34359738367 kB
VmallocUsed:       36208 kB
VmallocChunk:          0 kB
Percpu:             7808 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
Unaccepted:            0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      121856 kB
DirectMap2M:     5828608 kB
DirectMap1G:    10485760 kB
