MemTotal:        7795912 kB
MemFree:         5108992 kB
MemAvailable:    5538348 kB
Buffers:            8524 kB
Cached:           527904 kB
SwapCached:       918920 kB
Active:           221788 kB
Inactive:        2012968 kB
Active(anon):       2656 kB
Inactive(anon):  1704700 kB
Active(file):     219132 kB
Inactive(file):   308268 kB
Unevictable:          16 kB
Mlocked:              16 kB
SwapTotal:       2097152 kB
SwapFree:        1176428 kB
Dirty:              7776 kB
Writeback:        581876 kB
AnonPages:        779520 kB
Mapped:           360040 kB
Shmem:              9012 kB
KReclaimable:      81948 kB
Slab:             198496 kB
SReclaimable:      81948 kB
SUnreclaim:       116548 kB
KernelStack:        7108 kB
PageTables:         7884 kB
SecPageTables:         0 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:     5995108 kB
Committed_AS:    2683460 kB
VmallocTotal:   34359738367 kB
VmallocUsed:       36240 kB
VmallocChunk:          0 kB
Percpu:             7808 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
Unaccepted:            0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      121856 kB
DirectMap2M:     5828608 kB
DirectMap1G:    10485760 kB
