MemTotal:        7795912 kB
MemFree:         5882668 kB
MemAvailable:    6296140 kB
Buffers:            8148 kB
Cached:           512904 kB
SwapCached:            0 kB
Active:           206628 kB
Inactive:        1287164 kB
Active(anon):       2652 kB
Inactive(anon):   979324 kB
Active(file):     203976 kB
Inactive(file):   307840 kB
Unevictable:          16 kB
Mlocked:              16 kB
SwapTotal:       2097152 kB
SwapFree:        2095792 kB
Dirty:              7584 kB
Writeback:             0 kB
AnonPages:        954740 kB
Mapped:           360304 kB
Shmem:              9012 kB
KReclaimable:      81348 kB
Slab:             162348 kB
SReclaimable:      81348 kB
SUnreclaim:        81000 kB
KernelStack:        7084 kB
PageTables:         8700 kB
SecPageTables:         0 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:     5995108 kB
Committed_AS:    2683460 kB
VmallocTotal:   34359738367 kB
VmallocUsed:       36208 kB
VmallocChunk:          0 kB
Percpu:             7808 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
Unaccepted:            0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      121856 kB
DirectMap2M:     5828608 kB
DirectMap1G:    10485760 kB
