MemTotal:        7795912 kB
MemFree:         6091304 kB
MemAvailable:    6504788 kB
Buffers:            8152 kB
Cached:           512912 kB
SwapCached:            0 kB
Active:           206632 kB
Inactive:        1078340 kB
Active(anon):       2652 kB
Inactive(anon):   770492 kB
Active(file):     203980 kB
Inactive(file):   307848 kB
Unevictable:          16 kB
Mlocked:              16 kB
SwapTotal:       2097152 kB
SwapFree:        2095792 kB
Dirty:              7596 kB
Writeback:             0 kB
AnonPages:        764360 kB
Mapped:           360304 kB
Shmem:              9012 kB
KReclaimable:      81348 kB
Slab:             162352 kB
SReclaimable:      81348 kB
SUnreclaim:        81004 kB
KernelStack:        7080 kB
PageTables:         8100 kB
SecPageTables:         0 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:     5995108 kB
Committed_AS:    2683460 kB
VmallocTotal:   34359738367 kB
VmallocUsed:       36208 kB
VmallocChunk:          0 kB
Percpu:             7808 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
Unaccepted:            0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      121856 kB
DirectMap2M:     5828608 kB
DirectMap1G:    10485760 kB
