MemTotal:        7795912 kB
MemFree:         5248784 kB
MemAvailable:    5692808 kB
Buffers:            8840 kB
Cached:           542520 kB
SwapCached:       918920 kB
Active:           236172 kB
Inactive:        1889124 kB
Active(anon):       2656 kB
Inactive(anon):  1580700 kB
Active(file):     233516 kB
Inactive(file):   308424 kB
Unevictable:          16 kB
Mlocked:              16 kB
SwapTotal:       2097152 kB
SwapFree:        1176428 kB
Dirty:              7916 kB
Writeback:             0 kB
AnonPages:        655084 kB
Mapped:           360608 kB
Shmem:              9012 kB
KReclaimable:      82208 kB
Slab:             163524 kB
SReclaimable:      82208 kB
SUnreclaim:        81316 kB
KernelStack:        7208 kB
PageTables:         8188 kB
SecPageTables:         0 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:     5995108 kB
Committed_AS:    2683460 kB
VmallocTotal:   34359738367 kB
VmallocUsed:       36240 kB
VmallocChunk:          0 kB
Percpu:             7808 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
Unaccepted:            0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      121856 kB
DirectMap2M:     5828608 kB
DirectMap1G:    10485760 kB
