MemTotal:        7795912 kB
MemFree:         5847576 kB
MemAvailable:    6202852 kB
Buffers:            6900 kB
Cached:           456948 kB
SwapCached:       414932 kB
Active:           150632 kB
Inactive:        1379220 kB
Active(anon):       2656 kB
Inactive(anon):  1072576 kB
Active(file):     147976 kB
Inactive(file):   306644 kB
Unevictable:          16 kB
Mlocked:              16 kB
SwapTotal:       2097152 kB
SwapFree:        1682056 kB
Dirty:              7428 kB
Writeback:          1644 kB
AnonPages:        653632 kB
Mapped:           359972 kB
Shmem:              9012 kB
KReclaimable:      79348 kB
Slab:             160684 kB
SReclaimable:      79348 kB
SUnreclaim:        81336 kB
KernelStack:        7080 kB
PageTables:         8668 kB
SecPageTables:         0 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:     5995108 kB
Committed_AS:    2683460 kB
VmallocTotal:   34359738367 kB
VmallocUsed:       36224 kB
VmallocChunk:          0 kB
Percpu:             7808 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
Unaccepted:            0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      121856 kB
DirectMap2M:     5828608 kB
DirectMap1G:    10485760 kB
