MemTotal:        7795912 kB
MemFree:         4956500 kB
MemAvailable:    5428792 kB
Buffers:            9424 kB
Cached:           568832 kB
SwapCached:       918996 kB
Active:           263016 kB
Inactive:        2153264 kB
Active(anon):       2656 kB
Inactive(anon):  1844212 kB
Active(file):     260360 kB
Inactive(file):   309052 kB
Unevictable:          16 kB
Mlocked:              16 kB
SwapTotal:       2097152 kB
SwapFree:        1176180 kB
Dirty:              7776 kB
Writeback:             0 kB
AnonPages:        918856 kB
Mapped:           360160 kB
Shmem:              9012 kB
KReclaimable:      83796 kB
Slab:             165368 kB
SReclaimable:      83796 kB
SUnreclaim:        81572 kB
KernelStack:        7096 kB
PageTables:         8568 kB
SecPageTables:         0 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:     5995108 kB
Committed_AS:    2683460 kB
VmallocTotal:   34359738367 kB
VmallocUsed:       36224 kB
VmallocChunk:          0 kB
Percpu:             7808 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
Unaccepted:            0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      121856 kB
DirectMap2M:     5828608 kB
DirectMap1G:    10485760 kB
