MemTotal:        7795912 kB
MemFree:         6123032 kB
MemAvailable:    6497508 kB
Buffers:            7328 kB
Cached:           475412 kB
SwapCached:           48 kB
Active:           169312 kB
Inactive:        1081208 kB
Active(anon):       2648 kB
Inactive(anon):   774380 kB
Active(file):     166664 kB
Inactive(file):   306828 kB
Unevictable:          16 kB
Mlocked:              16 kB
SwapTotal:       2097152 kB
SwapFree:        2095792 kB
Dirty:              7692 kB
Writeback:            88 kB
AnonPages:        760428 kB
Mapped:           360140 kB
Shmem:              9012 kB
KReclaimable:      80008 kB
Slab:             161196 kB
SReclaimable:      80008 kB
SUnreclaim:        81188 kB
KernelStack:        7036 kB
PageTables:         8708 kB
SecPageTables:         0 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:     5995108 kB
Committed_AS:    2683460 kB
VmallocTotal:   34359738367 kB
VmallocUsed:       36288 kB
VmallocChunk:          0 kB
Percpu:             7808 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
Unaccepted:            0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      121856 kB
DirectMap2M:     5828608 kB
DirectMap1G:    10485760 kB
