MemTotal:        7795912 kB
MemFree:         5240020 kB
MemAvailable:    5688056 kB
Buffers:            8932 kB
Cached:           546164 kB
SwapCached:       918920 kB
Active:           239904 kB
Inactive:        1780164 kB
Active(anon):       2656 kB
Inactive(anon):  1471540 kB
Active(file):     237248 kB
Inactive(file):   308624 kB
Unevictable:          16 kB
Mlocked:              16 kB
SwapTotal:       2097152 kB
SwapFree:        1176428 kB
Dirty:              7908 kB
Writeback:             0 kB
AnonPages:        546164 kB
Mapped:           360424 kB
Shmem:              9012 kB
KReclaimable:      82368 kB
Slab:             163692 kB
SReclaimable:      82368 kB
SUnreclaim:        81324 kB
KernelStack:        7184 kB
PageTables:         8092 kB
SecPageTables:         0 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:     5995108 kB
Committed_AS:    2683460 kB
VmallocTotal:   34359738367 kB
VmallocUsed:       36208 kB
VmallocChunk:          0 kB
Percpu:             7808 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
Unaccepted:            0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      121856 kB
DirectMap2M:     5828608 kB
DirectMap1G:    10485760 kB
