MemTotal:        7795912 kB
MemFree:         6112872 kB
MemAvailable:    6529960 kB
Buffers:            8228 kB
Cached:           516392 kB
SwapCached:            0 kB
Active:           210336 kB
Inactive:        1054008 kB
Active(anon):       2656 kB
Inactive(anon):   746304 kB
Active(file):     207680 kB
Inactive(file):   307704 kB
Unevictable:          16 kB
Mlocked:              16 kB
SwapTotal:       2097152 kB
SwapFree:        2095792 kB
Dirty:              7736 kB
Writeback:             0 kB
AnonPages:        721700 kB
Mapped:           360204 kB
Shmem:              9012 kB
KReclaimable:      81444 kB
Slab:             162456 kB
SReclaimable:      81444 kB
SUnreclaim:        81012 kB
KernelStack:        7068 kB
PageTables:         8752 kB
SecPageTables:         0 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:     5995108 kB
Committed_AS:    2683460 kB
VmallocTotal:   34359738367 kB
VmallocUsed:       36176 kB
VmallocChunk:          0 kB
Percpu:             7808 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
Unaccepted:            0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      121856 kB
DirectMap2M:     5828608 kB
DirectMap1G:    10485760 kB
