MemTotal:        7795912 kB
MemFree:         4775192 kB
MemAvailable:    5276360 kB
Buffers:           10176 kB
Cached:           596432 kB
SwapCached:       918996 kB
Active:           290340 kB
Inactive:        2307040 kB
Active(anon):       2652 kB
Inactive(anon):  1997144 kB
Active(file):     287688 kB
Inactive(file):   309896 kB
Unevictable:          16 kB
Mlocked:              16 kB
SwapTotal:       2097152 kB
SwapFree:        1176080 kB
Dirty:               544 kB
Writeback:             0 kB
AnonPages:       1071860 kB
Mapped:           351992 kB
Shmem:              9008 kB
KReclaimable:      85208 kB
Slab:             166920 kB
SReclaimable:      85208 kB
SUnreclaim:        81712 kB
KernelStack:        6984 kB
PageTables:         8392 kB
SecPageTables:         0 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:     5995108 kB
Committed_AS:    2646832 kB
VmallocTotal:   34359738367 kB
VmallocUsed:       36224 kB
VmallocChunk:          0 kB
Percpu:             7808 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
Unaccepted:            0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      121856 kB
DirectMap2M:     5828608 kB
DirectMap1G:    10485760 kB
