MemTotal:        7795912 kB
MemFree:         5269612 kB
MemAvailable:    5790920 kB
Buffers:           10708 kB
Cached:           615856 kB
SwapCached:       918996 kB
Active:           309012 kB
Inactive:        1793588 kB
Active(anon):       2668 kB
Inactive(anon):  1482596 kB
Active(file):     306344 kB
Inactive(file):   310992 kB
Unevictable:          16 kB
Mlocked:              16 kB
SwapTotal:       2097152 kB
SwapFree:        1176080 kB
Dirty:               348 kB
Writeback:            44 kB
AnonPages:        557316 kB
Mapped:           351772 kB
Shmem:              9008 kB
KReclaimable:      85980 kB
Slab:             167276 kB
SReclaimable:      85980 kB
SUnreclaim:        81296 kB
KernelStack:        6988 kB
PageTables:         7724 kB
SecPageTables:         0 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:     5995108 kB
Committed_AS:    2646832 kB
VmallocTotal:   34359738367 kB
VmallocUsed:       36240 kB
VmallocChunk:          0 kB
Percpu:             7808 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
Unaccepted:            0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      121856 kB
DirectMap2M:     5828608 kB
DirectMap1G:    10485760 kB
