MemTotal:        7795912 kB
MemFree:         4708740 kB
MemAvailable:    5210124 kB
Buffers:           10228 kB
Cached:           596568 kB
SwapCached:       918996 kB
Active:           290352 kB
Inactive:        2372672 kB
Active(anon):       2648 kB
Inactive(anon):  2062604 kB
Active(file):     287704 kB
Inactive(file):   310068 kB
Unevictable:          16 kB
Mlocked:              16 kB
SwapTotal:       2097152 kB
SwapFree:        1176080 kB
Dirty:               524 kB
Writeback:             0 kB
AnonPages:       1137260 kB
Mapped:           352140 kB
Shmem:              9008 kB
KReclaimable:      85264 kB
Slab:             166988 kB
SReclaimable:      85264 kB
SUnreclaim:        81724 kB
KernelStack:        7020 kB
PageTables:         8596 kB
SecPageTables:         0 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:     5995108 kB
Committed_AS:    2712372 kB
VmallocTotal:   34359738367 kB
VmallocUsed:       36208 kB
VmallocChunk:          0 kB
Percpu:             7808 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
Unaccepted:            0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      121856 kB
DirectMap2M:     5828608 kB
DirectMap1G:    10485760 kB
