MemTotal:        7795912 kB
MemFree:         4801176 kB
MemAvailable:    5277484 kB
Buffers:            9508 kB
Cached:           572704 kB
SwapCached:       918996 kB
Active:           266760 kB
Inactive:        2306024 kB
Active(anon):       2664 kB
Inactive(anon):  1996752 kB
Active(file):     264096 kB
Inactive(file):   309272 kB
Unevictable:          16 kB
Mlocked:              16 kB
SwapTotal:       2097152 kB
SwapFree:        1176180 kB
Dirty:              7676 kB
Writeback:             0 kB
AnonPages:       1071656 kB
Mapped:           360144 kB
Shmem:              9012 kB
KReclaimable:      83920 kB
Slab:             165464 kB
SReclaimable:      83920 kB
SUnreclaim:        81544 kB
KernelStack:        7148 kB
PageTables:         8988 kB
SecPageTables:         0 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:     5995108 kB
Committed_AS:    2683460 kB
VmallocTotal:   34359738367 kB
VmallocUsed:       36192 kB
VmallocChunk:          0 kB
Percpu:             7808 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
Unaccepted:            0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      121856 kB
DirectMap2M:     5828608 kB
DirectMap1G:    10485760 kB
