MemTotal:        7795912 kB
MemFree:         5833884 kB
MemAvailable:    6200580 kB
Buffers:            7152 kB
Cached:           467944 kB
SwapCached:       446168 kB
Active:           161828 kB
Inactive:        1379552 kB
Active(anon):       2652 kB
Inactive(anon):  1072868 kB
Active(file):     159176 kB
Inactive(file):   306684 kB
Unevictable:          16 kB
Mlocked:              16 kB
SwapTotal:       2097152 kB
SwapFree:        1650016 kB
Dirty:              7816 kB
Writeback:           544 kB
AnonPages:        622380 kB
Mapped:           360040 kB
Shmem:              9012 kB
KReclaimable:      79712 kB
Slab:             161280 kB
SReclaimable:      79712 kB
SUnreclaim:        81568 kB
KernelStack:        7048 kB
PageTables:         8636 kB
SecPageTables:         0 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:     5995108 kB
Committed_AS:    2683460 kB
VmallocTotal:   34359738367 kB
VmallocUsed:       36256 kB
VmallocChunk:          0 kB
Percpu:             7808 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
Unaccepted:            0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      121856 kB
DirectMap2M:     5828608 kB
DirectMap1G:    10485760 kB
