MemTotal:        7795912 kB
MemFree:         4757180 kB
MemAvailable:    5278384 kB
Buffers:           10688 kB
Cached:           615772 kB
SwapCached:       918996 kB
Active:           309000 kB
Inactive:        2307724 kB
Active(anon):       2672 kB
Inactive(anon):  1996820 kB
Active(file):     306328 kB
Inactive(file):   310904 kB
Unevictable:          16 kB
Mlocked:              16 kB
SwapTotal:       2097152 kB
SwapFree:        1176080 kB
Dirty:               556 kB
Writeback:             0 kB
AnonPages:       1071792 kB
Mapped:           352084 kB
Shmem:              9008 kB
KReclaimable:      85980 kB
Slab:             167272 kB
SReclaimable:      85980 kB
SUnreclaim:        81292 kB
KernelStack:        7020 kB
PageTables:         8628 kB
SecPageTables:         0 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:     5995108 kB
Committed_AS:    2646832 kB
VmallocTotal:   34359738367 kB
VmallocUsed:       36240 kB
VmallocChunk:          0 kB
Percpu:             7808 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
Unaccepted:            0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      121856 kB
DirectMap2M:     5828608 kB
DirectMap1G:    10485760 kB
