MemTotal:        7795912 kB
MemFree:         5488992 kB
MemAvailable:    6012120 kB
Buffers:           10820 kB
Cached:           612556 kB
SwapCached:       918996 kB
Active:           309932 kB
Inactive:        1573928 kB
Active(anon):       2684 kB
Inactive(anon):  1262308 kB
Active(file):     307248 kB
Inactive(file):   311620 kB
Unevictable:          16 kB
Mlocked:              16 kB
SwapTotal:       2097152 kB
SwapFree:        1175332 kB
Dirty:               160 kB
Writeback:           196 kB
AnonPages:        341588 kB
Mapped:           342436 kB
Shmem:              4692 kB
KReclaimable:      86556 kB
Slab:             168012 kB
SReclaimable:      86556 kB
SUnreclaim:        81456 kB
KernelStack:        7044 kB
PageTables:         6924 kB
SecPageTables:         0 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:     5995108 kB
Committed_AS:    1886112 kB
VmallocTotal:   34359738367 kB
VmallocUsed:       36176 kB
VmallocChunk:          0 kB
Percpu:             7808 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
Unaccepted:            0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      121856 kB
DirectMap2M:     5828608 kB
DirectMap1G:    10485760 kB
