MemTotal:        7795912 kB
MemFree:         4762392 kB
MemAvailable:    5275480 kB
Buffers:           10472 kB
Cached:           607608 kB
SwapCached:       918996 kB
Active:           301576 kB
Inactive:        2307440 kB
Active(anon):       2648 kB
Inactive(anon):  1997116 kB
Active(file):     298928 kB
Inactive(file):   310324 kB
Unevictable:          16 kB
Mlocked:              16 kB
SwapTotal:       2097152 kB
SwapFree:        1176080 kB
Dirty:              7592 kB
Writeback:           108 kB
AnonPages:       1071552 kB
Mapped:           352240 kB
Shmem:              9008 kB
KReclaimable:      85708 kB
Slab:             166984 kB
SReclaimable:      85708 kB
SUnreclaim:        81276 kB
KernelStack:        6996 kB
PageTables:         8508 kB
SecPageTables:         0 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:     5995108 kB
Committed_AS:    2646832 kB
VmallocTotal:   34359738367 kB
VmallocUsed:       36192 kB
VmallocChunk:          0 kB
Percpu:             7808 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
Unaccepted:            0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      121856 kB
DirectMap2M:     5828608 kB
DirectMap1G:    10485760 kB
