MemTotal:        7795912 kB
MemFree:         5485964 kB
MemAvailable:    6009080 kB
Buffers:           10820 kB
Cached:           612544 kB
SwapCached:       918996 kB
Active:           309932 kB
Inactive:        1573520 kB
Active(anon):       2684 kB
Inactive(anon):  1261912 kB
Active(file):     307248 kB
Inactive(file):   311608 kB
Unevictable:          16 kB
Mlocked:              16 kB
SwapTotal:       2097152 kB
SwapFree:        1175332 kB
Dirty:               148 kB
Writeback:           196 kB
AnonPages:        341368 kB
Mapped:           342240 kB
Shmem:              4692 kB
KReclaimable:      86556 kB
Slab:             168012 kB
SReclaimable:      86556 kB
SUnreclaim:        81456 kB
KernelStack:        7020 kB
PageTables:         6832 kB
SecPageTables:         0 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:     5995108 kB
Committed_AS:    1886112 kB
VmallocTotal:   34359738367 kB
VmallocUsed:       36176 kB
VmallocChunk:          0 kB
Percpu:             7808 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
Unaccepted:            0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      121856 kB
DirectMap2M:     5828608 kB
DirectMap1G:    10485760 kB
