MemTotal:        7795912 kB
MemFree:         5801232 kB
MemAvailable:    6195156 kB
Buffers:            7740 kB
Cached:           494212 kB
SwapCached:            0 kB
Active:           187900 kB
Inactive:        1384912 kB
Active(anon):       2660 kB
Inactive(anon):  1077448 kB
Active(file):     185240 kB
Inactive(file):   307464 kB
Unevictable:          16 kB
Mlocked:              16 kB
SwapTotal:       2097152 kB
SwapFree:        2095792 kB
Dirty:              8072 kB
Writeback:             0 kB
AnonPages:       1070948 kB
Mapped:           360464 kB
Shmem:              9012 kB
KReclaimable:      80476 kB
Slab:             161500 kB
SReclaimable:      80476 kB
SUnreclaim:        81024 kB
KernelStack:        7112 kB
PageTables:         8916 kB
SecPageTables:         0 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:     5995108 kB
Committed_AS:    2683460 kB
VmallocTotal:   34359738367 kB
VmallocUsed:       36272 kB
VmallocChunk:          0 kB
Percpu:             7808 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
Unaccepted:            0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      121856 kB
DirectMap2M:     5828608 kB
DirectMap1G:    10485760 kB
