MemTotal:        7795912 kB
MemFree:         4763684 kB
MemAvailable:    5272888 kB
Buffers:           10400 kB
Cached:           604104 kB
SwapCached:       918996 kB
Active:           297840 kB
Inactive:        2307600 kB
Active(anon):       2652 kB
Inactive(anon):  1997320 kB
Active(file):     295188 kB
Inactive(file):   310280 kB
Unevictable:          16 kB
Mlocked:              16 kB
SwapTotal:       2097152 kB
SwapFree:        1176080 kB
Dirty:              7484 kB
Writeback:            32 kB
AnonPages:       1071980 kB
Mapped:           352460 kB
Shmem:              9008 kB
KReclaimable:      85512 kB
Slab:             167220 kB
SReclaimable:      85512 kB
SUnreclaim:        81708 kB
KernelStack:        7028 kB
PageTables:         8664 kB
SecPageTables:         0 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:     5995108 kB
Committed_AS:    2646832 kB
VmallocTotal:   34359738367 kB
VmallocUsed:       36192 kB
VmallocChunk:          0 kB
Percpu:             7808 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
Unaccepted:            0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      121856 kB
DirectMap2M:     5828608 kB
DirectMap1G:    10485760 kB
