MemTotal:        7795912 kB
MemFree:         5018204 kB
MemAvailable:    5518156 kB
Buffers:           10060 kB
Cached:           595532 kB
SwapCached:       918996 kB
Active:           289032 kB
Inactive:        2069096 kB
Active(anon):       2660 kB
Inactive(anon):  1758908 kB
Active(file):     286372 kB
Inactive(file):   310188 kB
Unevictable:          16 kB
Mlocked:              16 kB
SwapTotal:       2097152 kB
SwapFree:        1176080 kB
Dirty:              7740 kB
Writeback:             0 kB
AnonPages:        833636 kB
Mapped:           360044 kB
Shmem:              9012 kB
KReclaimable:      84824 kB
Slab:             166456 kB
SReclaimable:      84824 kB
SUnreclaim:        81632 kB
KernelStack:        7008 kB
PageTables:         8076 kB
SecPageTables:         0 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:     5995108 kB
Committed_AS:    2683460 kB
VmallocTotal:   34359738367 kB
VmallocUsed:       36224 kB
VmallocChunk:          0 kB
Percpu:             7808 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
Unaccepted:            0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      121856 kB
DirectMap2M:     5828608 kB
DirectMap1G:    10485760 kB
