MemTotal:        7795912 kB
MemFree:         6000480 kB
MemAvailable:    6347060 kB
Buffers:            6732 kB
Cached:           448640 kB
SwapCached:            0 kB
Active:           139172 kB
Inactive:        1243468 kB
Active(anon):       2636 kB
Inactive(anon):   933844 kB
Active(file):     136536 kB
Inactive(file):   309624 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:       2097152 kB
SwapFree:        2097152 kB
Dirty:              7672 kB
Writeback:             0 kB
AnonPages:        927508 kB
Mapped:           363260 kB
Shmem:              9004 kB
KReclaimable:      78876 kB
Slab:             159744 kB
SReclaimable:      78876 kB
SUnreclaim:        80868 kB
KernelStack:        6920 kB
PageTables:         8432 kB
SecPageTables:         0 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:     5995108 kB
Committed_AS:    2683460 kB
VmallocTotal:   34359738367 kB
VmallocUsed:       36160 kB
VmallocChunk:          0 kB
Percpu:             7808 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
Unaccepted:            0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      121856 kB
DirectMap2M:     5828608 kB
DirectMap1G:    10485760 kB
