MemTotal:        7795912 kB
MemFree:         4993596 kB
MemAvailable:    5493728 kB
Buffers:           10100 kB
Cached:           595636 kB
SwapCached:       918996 kB
Active:           290232 kB
Inactive:        2087780 kB
Active(anon):       2664 kB
Inactive(anon):  1778644 kB
Active(file):     287568 kB
Inactive(file):   309136 kB
Unevictable:          16 kB
Mlocked:              16 kB
SwapTotal:       2097152 kB
SwapFree:        1176080 kB
Dirty:              7216 kB
Writeback:             0 kB
AnonPages:        835880 kB
Mapped:           352264 kB
Shmem:              9008 kB
KReclaimable:      84896 kB
Slab:             166552 kB
SReclaimable:      84896 kB
SUnreclaim:        81656 kB
KernelStack:        7100 kB
PageTables:         8636 kB
SecPageTables:         0 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:     5995108 kB
Committed_AS:    2646832 kB
VmallocTotal:   34359738367 kB
VmallocUsed:       36176 kB
VmallocChunk:          0 kB
Percpu:             7808 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
Unaccepted:            0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      121856 kB
DirectMap2M:     5828608 kB
DirectMap1G:    10485760 kB
