MemTotal:        7795912 kB
MemFree:         4752596 kB
MemAvailable:    5273592 kB
Buffers:           10660 kB
Cached:           615600 kB
SwapCached:       918996 kB
Active:           308988 kB
Inactive:        2308732 kB
Active(anon):       2680 kB
Inactive(anon):  1998000 kB
Active(file):     306308 kB
Inactive(file):   310732 kB
Unevictable:          16 kB
Mlocked:              16 kB
SwapTotal:       2097152 kB
SwapFree:        1176080 kB
Dirty:               492 kB
Writeback:             0 kB
AnonPages:       1072736 kB
Mapped:           352080 kB
Shmem:              9008 kB
KReclaimable:      85952 kB
Slab:             167232 kB
SReclaimable:      85952 kB
SUnreclaim:        81280 kB
KernelStack:        7052 kB
PageTables:         8848 kB
SecPageTables:         0 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:     5995108 kB
Committed_AS:    2649952 kB
VmallocTotal:   34359738367 kB
VmallocUsed:       36272 kB
VmallocChunk:          0 kB
Percpu:             7808 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
Unaccepted:            0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      121856 kB
DirectMap2M:     5828608 kB
DirectMap1G:    10485760 kB
