MemTotal:        7795912 kB
MemFree:         6026832 kB
MemAvailable:    6401344 kB
Buffers:            7336 kB
Cached:           475440 kB
SwapCached:           48 kB
Active:           169324 kB
Inactive:        1178664 kB
Active(anon):       2652 kB
Inactive(anon):   871808 kB
Active(file):     166672 kB
Inactive(file):   306856 kB
Unevictable:          16 kB
Mlocked:              16 kB
SwapTotal:       2097152 kB
SwapFree:        2095792 kB
Dirty:              7720 kB
Writeback:            88 kB
AnonPages:        838132 kB
Mapped:           360168 kB
Shmem:              9012 kB
KReclaimable:      80008 kB
Slab:             161200 kB
SReclaimable:      80008 kB
SUnreclaim:        81192 kB
KernelStack:        7048 kB
PageTables:         8660 kB
SecPageTables:         0 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:     5995108 kB
Committed_AS:    2683460 kB
VmallocTotal:   34359738367 kB
VmallocUsed:       36288 kB
VmallocChunk:          0 kB
Percpu:             7808 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
Unaccepted:            0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      121856 kB
DirectMap2M:     5828608 kB
DirectMap1G:    10485760 kB
