MemTotal:        7795912 kB
MemFree:         4836024 kB
MemAvailable:    5358396 kB
Buffers:           10752 kB
Cached:           615996 kB
SwapCached:      1361956 kB
Active:           309196 kB
Inactive:        2227072 kB
Active(anon):       2664 kB
Inactive(anon):  1915880 kB
Active(file):     306532 kB
Inactive(file):   311192 kB
Unevictable:          16 kB
Mlocked:              16 kB
SwapTotal:       2097152 kB
SwapFree:         732964 kB
Dirty:               400 kB
Writeback:             0 kB
AnonPages:        547636 kB
Mapped:           352132 kB
Shmem:              9008 kB
KReclaimable:      87332 kB
Slab:             168832 kB
SReclaimable:      87332 kB
SUnreclaim:        81500 kB
KernelStack:        6968 kB
PageTables:         8536 kB
SecPageTables:         0 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:     5995108 kB
Committed_AS:    2646832 kB
VmallocTotal:   34359738367 kB
VmallocUsed:       36224 kB
VmallocChunk:          0 kB
Percpu:             7808 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
Unaccepted:            0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      121856 kB
DirectMap2M:     5828608 kB
DirectMap1G:    10485760 kB
