MemTotal:        7795912 kB
MemFree:         5754400 kB
MemAvailable:    6133016 kB
Buffers:            7416 kB
Cached:           479180 kB
SwapCached:            0 kB
Active:           173124 kB
Inactive:        1449856 kB
Active(anon):       2656 kB
Inactive(anon):  1142768 kB
Active(file):     170468 kB
Inactive(file):   307088 kB
Unevictable:          16 kB
Mlocked:              16 kB
SwapTotal:       2097152 kB
SwapFree:        2095792 kB
Dirty:              7980 kB
Writeback:             0 kB
AnonPages:       1136232 kB
Mapped:           360288 kB
Shmem:              9012 kB
KReclaimable:      80160 kB
Slab:             161220 kB
SReclaimable:      80160 kB
SUnreclaim:        81060 kB
KernelStack:        7116 kB
PageTables:         8712 kB
SecPageTables:         0 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:     5995108 kB
Committed_AS:    2749000 kB
VmallocTotal:   34359738367 kB
VmallocUsed:       36256 kB
VmallocChunk:          0 kB
Percpu:             7808 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
Unaccepted:            0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      121856 kB
DirectMap2M:     5828608 kB
DirectMap1G:    10485760 kB
