MemTotal:        7795912 kB
MemFree:         5125740 kB
MemAvailable:    5598404 kB
Buffers:            9420 kB
Cached:           568796 kB
SwapCached:      1123424 kB
Active:           263012 kB
Inactive:        1984980 kB
Active(anon):       2656 kB
Inactive(anon):  1675964 kB
Active(file):     260356 kB
Inactive(file):   309016 kB
Unevictable:          16 kB
Mlocked:              16 kB
SwapTotal:       2097152 kB
SwapFree:         972148 kB
Dirty:              7736 kB
Writeback:             0 kB
AnonPages:        546564 kB
Mapped:           360156 kB
Shmem:              9012 kB
KReclaimable:      84624 kB
Slab:             166152 kB
SReclaimable:      84624 kB
SUnreclaim:        81528 kB
KernelStack:        7040 kB
PageTables:         8836 kB
SecPageTables:         0 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:     5995108 kB
Committed_AS:    2683460 kB
VmallocTotal:   34359738367 kB
VmallocUsed:       36192 kB
VmallocChunk:          0 kB
Percpu:             7808 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
Unaccepted:            0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      121856 kB
DirectMap2M:     5828608 kB
DirectMap1G:    10485760 kB
