MemTotal:        7795912 kB
MemFree:         4777548 kB
MemAvailable:    5278640 kB
Buffers:           10172 kB
Cached:           596368 kB
SwapCached:       918996 kB
Active:           290328 kB
Inactive:        2306684 kB
Active(anon):       2648 kB
Inactive(anon):  1996852 kB
Active(file):     287680 kB
Inactive(file):   309832 kB
Unevictable:          16 kB
Mlocked:              16 kB
SwapTotal:       2097152 kB
SwapFree:        1176080 kB
Dirty:               480 kB
Writeback:             0 kB
AnonPages:       1071524 kB
Mapped:           351964 kB
Shmem:              9008 kB
KReclaimable:      85200 kB
Slab:             166912 kB
SReclaimable:      85200 kB
SUnreclaim:        81712 kB
KernelStack:        6960 kB
PageTables:         8316 kB
SecPageTables:         0 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:     5995108 kB
Committed_AS:    2646832 kB
VmallocTotal:   34359738367 kB
VmallocUsed:       36192 kB
VmallocChunk:          0 kB
Percpu:             7808 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
Unaccepted:            0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      121856 kB
DirectMap2M:     5828608 kB
DirectMap1G:    10485760 kB
