MemTotal:        7795912 kB
MemFree:         5811660 kB
MemAvailable:    6197524 kB
Buffers:            7580 kB
Cached:           486624 kB
SwapCached:            0 kB
Active:           180376 kB
Inactive:        1384596 kB
Active(anon):       2660 kB
Inactive(anon):  1077540 kB
Active(file):     177716 kB
Inactive(file):   307056 kB
Unevictable:          16 kB
Mlocked:              16 kB
SwapTotal:       2097152 kB
SwapFree:        2095792 kB
Dirty:              7920 kB
Writeback:             0 kB
AnonPages:       1071244 kB
Mapped:           360264 kB
Shmem:              9012 kB
KReclaimable:      80220 kB
Slab:             161264 kB
SReclaimable:      80220 kB
SUnreclaim:        81044 kB
KernelStack:        7112 kB
PageTables:         8900 kB
SecPageTables:         0 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:     5995108 kB
Committed_AS:    2683460 kB
VmallocTotal:   34359738367 kB
VmallocUsed:       36304 kB
VmallocChunk:          0 kB
Percpu:             7808 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
Unaccepted:            0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      121856 kB
DirectMap2M:     5828608 kB
DirectMap1G:    10485760 kB
