MemTotal:        7795912 kB
MemFree:         5926336 kB
MemAvailable:    6304908 kB
Buffers:            7412 kB
Cached:           479144 kB
SwapCached:            0 kB
Active:           173124 kB
Inactive:        1274848 kB
Active(anon):       2656 kB
Inactive(anon):   967800 kB
Active(file):     170468 kB
Inactive(file):   307048 kB
Unevictable:          16 kB
Mlocked:              16 kB
SwapTotal:       2097152 kB
SwapFree:        2095792 kB
Dirty:              7936 kB
Writeback:             0 kB
AnonPages:        954736 kB
Mapped:           360092 kB
Shmem:              9012 kB
KReclaimable:      80152 kB
Slab:             161176 kB
SReclaimable:      80152 kB
SUnreclaim:        81024 kB
KernelStack:        7064 kB
PageTables:         8604 kB
SecPageTables:         0 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:     5995108 kB
Committed_AS:    2683460 kB
VmallocTotal:   34359738367 kB
VmallocUsed:       36288 kB
VmallocChunk:          0 kB
Percpu:             7808 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
Unaccepted:            0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      121856 kB
DirectMap2M:     5828608 kB
DirectMap1G:    10485760 kB
