MemTotal:        7795912 kB
MemFree:         4825832 kB
MemAvailable:    5327092 kB
Buffers:           10192 kB
Cached:           596496 kB
SwapCached:       918996 kB
Active:           290352 kB
Inactive:        2256848 kB
Active(anon):       2652 kB
Inactive(anon):  1946884 kB
Active(file):     287700 kB
Inactive(file):   309964 kB
Unevictable:          16 kB
Mlocked:              16 kB
SwapTotal:       2097152 kB
SwapFree:        1176080 kB
Dirty:               616 kB
Writeback:             0 kB
AnonPages:       1021440 kB
Mapped:           351964 kB
Shmem:              9008 kB
KReclaimable:      85228 kB
Slab:             166940 kB
SReclaimable:      85228 kB
SUnreclaim:        81712 kB
KernelStack:        6972 kB
PageTables:         8264 kB
SecPageTables:         0 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:     5995108 kB
Committed_AS:    2646832 kB
VmallocTotal:   34359738367 kB
VmallocUsed:       36208 kB
VmallocChunk:          0 kB
Percpu:             7808 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
Unaccepted:            0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      121856 kB
DirectMap2M:     5828608 kB
DirectMap1G:    10485760 kB
