MemTotal:        7795912 kB
MemFree:         5224380 kB
MemAvailable:    5746428 kB
Buffers:           10772 kB
Cached:           616104 kB
SwapCached:       918996 kB
Active:           309204 kB
Inactive:        1804772 kB
Active(anon):       2664 kB
Inactive(anon):  1493460 kB
Active(file):     306540 kB
Inactive(file):   311312 kB
Unevictable:          16 kB
Mlocked:              16 kB
SwapTotal:       2097152 kB
SwapFree:        1175824 kB
Dirty:               276 kB
Writeback:           172 kB
AnonPages:        568292 kB
Mapped:           352332 kB
Shmem:              9008 kB
KReclaimable:      86428 kB
Slab:             167724 kB
SReclaimable:      86428 kB
SUnreclaim:        81296 kB
KernelStack:        7084 kB
PageTables:         7800 kB
SecPageTables:         0 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:     5995108 kB
Committed_AS:    2646832 kB
VmallocTotal:   34359738367 kB
VmallocUsed:       36224 kB
VmallocChunk:          0 kB
Percpu:             7808 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
Unaccepted:            0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      121856 kB
DirectMap2M:     5828608 kB
DirectMap1G:    10485760 kB
