MemTotal:        7795912 kB
MemFree:         5489612 kB
MemAvailable:    6012660 kB
Buffers:           10808 kB
Cached:           612496 kB
SwapCached:       918996 kB
Active:           309920 kB
Inactive:        1574044 kB
Active(anon):       2676 kB
Inactive(anon):  1262496 kB
Active(file):     307244 kB
Inactive(file):   311548 kB
Unevictable:          16 kB
Mlocked:              16 kB
SwapTotal:       2097152 kB
SwapFree:        1175332 kB
Dirty:               484 kB
Writeback:             0 kB
AnonPages:        341308 kB
Mapped:           342552 kB
Shmem:              4692 kB
KReclaimable:      86552 kB
Slab:             167812 kB
SReclaimable:      86552 kB
SUnreclaim:        81260 kB
KernelStack:        7012 kB
PageTables:         7040 kB
SecPageTables:         0 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:     5995108 kB
Committed_AS:    1886112 kB
VmallocTotal:   34359738367 kB
VmallocUsed:       36144 kB
VmallocChunk:          0 kB
Percpu:             7808 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
Unaccepted:            0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      121856 kB
DirectMap2M:     5828608 kB
DirectMap1G:    10485760 kB
